LibraryName	Lineage	Sex	GeneticBackground
MIIoocyte_1	MIIoocyte	NA	CAST (F) x C57 (M)
MIIoocyte_2	MIIoocyte	NA	CAST (F) x C57 (M)
MIIoocyte_3	MIIoocyte	NA	CAST (F) x C57 (M)
zy1	zy	NA	CAST (F) x C57 (M)
zy2	zy	NA	CAST (F) x C57 (M)
zy3	zy	NA	CAST (F) x C57 (M)
zy4	zy	NA	CAST (F) x C57 (M)
early2cell_0r-1	early2cell	NA	CAST (F) x C57 (M)
early2cell_0r-2	early2cell	NA	CAST (F) x C57 (M)
early2cell_1-1	early2cell	NA	CAST (F) x C57 (M)
early2cell_1-2	early2cell	NA	CAST (F) x C57 (M)
early2cell_2-1	early2cell	NA	CAST (F) x C57 (M)
early2cell_2-2	early2cell	NA	CAST (F) x C57 (M)
early2cell_3-1	early2cell	NA	CAST (F) x C57 (M)
early2cell_3-2	early2cell	NA	CAST (F) x C57 (M)
mid2cell_0r-1	mid2cell	M	CAST (F) x C57 (M)
mid2cell_0r-2	mid2cell	M	CAST (F) x C57 (M)
mid2cell_3-1	mid2cell	F	CAST (F) x C57 (M)
mid2cell_3-2	mid2cell	F	CAST (F) x C57 (M)
mid2cell_4-1	mid2cell	M	CAST (F) x C57 (M)
mid2cell_4-2	mid2cell	M	CAST (F) x C57 (M)
mid2cell_5-1	mid2cell	M	CAST (F) x C57 (M)
mid2cell_5-2	mid2cell	M	CAST (F) x C57 (M)
mid2cell_6-1	mid2cell	F	CAST (F) x C57 (M)
mid2cell_6-2	mid2cell	F	CAST (F) x C57 (M)
mid2cell_7-1	mid2cell	F	CAST (F) x C57 (M)
mid2cell_7-2	mid2cell	F	CAST (F) x C57 (M)
late2cell_5-1	late2cell	M	CAST (F) x C57 (M)
late2cell_5-2	late2cell	M	CAST (F) x C57 (M)
late2cell_6-1	late2cell	F	CAST (F) x C57 (M)
late2cell_6-2	late2cell	F	CAST (F) x C57 (M)
late2cell_7-1	late2cell	F	CAST (F) x C57 (M)
late2cell_7-2	late2cell	F	CAST (F) x C57 (M)
late2cell_8-1	late2cell	F	CAST (F) x C57 (M)
late2cell_8-2	late2cell	F	CAST (F) x C57 (M)
late2cell_9-1	late2cell	M	CAST (F) x C57 (M)
late2cell_9-2	late2cell	M	CAST (F) x C57 (M)
4cell_1-1	4cell	M	CAST (F) x C57 (M)
4cell_1-2	4cell	M	CAST (F) x C57 (M)
4cell_1-4	4cell	M	CAST (F) x C57 (M)
4cell_2-1	4cell	F	CAST (F) x C57 (M)
4cell_2-2	4cell	F	CAST (F) x C57 (M)
4cell_2-3	4cell	F	CAST (F) x C57 (M)
4cell_2-4	4cell	F	CAST (F) x C57 (M)
4cell_3-1	4cell	F	CAST (F) x C57 (M)
4cell_3-3	4cell	F	CAST (F) x C57 (M)
4cell_3-4	4cell	F	CAST (F) x C57 (M)
4cell_4-1	4cell	F	CAST (F) x C57 (M)
4cell_4-2	4cell	F	CAST (F) x C57 (M)
4cell_4-3	4cell	F	CAST (F) x C57 (M)
4cell_4-4	4cell	F	CAST (F) x C57 (M)
8cell_1-1	8cell	M	CAST (F) x C57 (M)
8cell_1-2	8cell	M	CAST (F) x C57 (M)
8cell_1-4	8cell	M	CAST (F) x C57 (M)
8cell_1-5	8cell	M	CAST (F) x C57 (M)
8cell_1-6	8cell	M	CAST (F) x C57 (M)
8cell_1-7	8cell	M	CAST (F) x C57 (M)
8cell_1-8	8cell	M	CAST (F) x C57 (M)
8cell_2-1	8cell	M	CAST (F) x C57 (M)
8cell_2-2	8cell	M	CAST (F) x C57 (M)
8cell_2-3	8cell	M	CAST (F) x C57 (M)
8cell_2-4	8cell	M	CAST (F) x C57 (M)
8cell_2-6	8cell	M	CAST (F) x C57 (M)
8cell_2-7	8cell	M	CAST (F) x C57 (M)
8cell_2-8	8cell	M	CAST (F) x C57 (M)
8cell_5-1	8cell	M	CAST (F) x C57 (M)
8cell_5-2	8cell	M	CAST (F) x C57 (M)
8cell_5-3	8cell	M	CAST (F) x C57 (M)
8cell_5-4	8cell	M	CAST (F) x C57 (M)
8cell_5-6	8cell	M	CAST (F) x C57 (M)
8cell_5-7	8cell	M	CAST (F) x C57 (M)
8cell_5-8	8cell	M	CAST (F) x C57 (M)
8cell_8-1	8cell	M	CAST (F) x C57 (M)
8cell_8-2	8cell	M	CAST (F) x C57 (M)
8cell_8-4	8cell	M	CAST (F) x C57 (M)
8cell_8-6	8cell	M	CAST (F) x C57 (M)
8cell_8-7	8cell	M	CAST (F) x C57 (M)
8cell_8-8	8cell	M	CAST (F) x C57 (M)
16cell_1-2	16cell	M	CAST (F) x C57 (M)
16cell_1-3	16cell	M	CAST (F) x C57 (M)
16cell_1-4	16cell	M	CAST (F) x C57 (M)
16cell_1-5	16cell	M	CAST (F) x C57 (M)
16cell_1-6	16cell	M	CAST (F) x C57 (M)
16cell_1-7	16cell	M	CAST (F) x C57 (M)
16cell_1-8	16cell	M	CAST (F) x C57 (M)
16cell_1-9	16cell	M	CAST (F) x C57 (M)
16cell_1-10	16cell	M	CAST (F) x C57 (M)
16cell_1-11	16cell	M	CAST (F) x C57 (M)
16cell_1-12	16cell	M	CAST (F) x C57 (M)
16cell_1-13	16cell	M	CAST (F) x C57 (M)
16cell_1-14	16cell	M	CAST (F) x C57 (M)
16cell_1-15	16cell	M	CAST (F) x C57 (M)
16cell_4-1	16cell	F	CAST (F) x C57 (M)
16cell_4-3	16cell	F	CAST (F) x C57 (M)
16cell_4-4	16cell	F	CAST (F) x C57 (M)
16cell_4-5	16cell	F	CAST (F) x C57 (M)
16cell_4-6	16cell	F	CAST (F) x C57 (M)
16cell_4-7	16cell	F	CAST (F) x C57 (M)
16cell_4-8	16cell	F	CAST (F) x C57 (M)
16cell_4-9	16cell	F	CAST (F) x C57 (M)
16cell_4-10	16cell	F	CAST (F) x C57 (M)
16cell_4-11	16cell	F	CAST (F) x C57 (M)
16cell_5-1	16cell	M	CAST (F) x C57 (M)
16cell_5-2	16cell	M	CAST (F) x C57 (M)
16cell_5-3	16cell	M	CAST (F) x C57 (M)
16cell_5-4	16cell	M	CAST (F) x C57 (M)
16cell_5-5	16cell	M	CAST (F) x C57 (M)
16cell_5-6	16cell	M	CAST (F) x C57 (M)
16cell_5-7	16cell	M	CAST (F) x C57 (M)
16cell_5-8	16cell	M	CAST (F) x C57 (M)
16cell_5-9	16cell	M	CAST (F) x C57 (M)
16cell_5-10	16cell	M	CAST (F) x C57 (M)
16cell_5-11	16cell	M	CAST (F) x C57 (M)
16cell_5-12	16cell	M	CAST (F) x C57 (M)
16cell_5-13	16cell	M	CAST (F) x C57 (M)
16cell_6-1	16cell	F	CAST (F) x C57 (M)
16cell_6-2	16cell	F	CAST (F) x C57 (M)
16cell_6-3	16cell	F	CAST (F) x C57 (M)
16cell_6-4	16cell	F	CAST (F) x C57 (M)
16cell_6-5	16cell	F	CAST (F) x C57 (M)
16cell_6-6	16cell	F	CAST (F) x C57 (M)
16cell_6-7	16cell	F	CAST (F) x C57 (M)
16cell_6-8	16cell	F	CAST (F) x C57 (M)
16cell_6-9	16cell	F	CAST (F) x C57 (M)
16cell_6-10	16cell	F	CAST (F) x C57 (M)
16cell_6-11	16cell	F	CAST (F) x C57 (M)
16cell_6-12	16cell	F	CAST (F) x C57 (M)
